matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
2,Admir Mehmedi,Hängende Spitze,SC Freiburg,Yann Sommer,0:0,63',SC Freiburg,Borussia Mönchengladbach,0:0 ,2014/2015,0
4,Ciro Immobile,Mittelstürmer,Borussia Dortmund,Loris Karius,1:0,70',1.FSV Mainz 05,Borussia Dortmund,2:0 ,2014/2015,0
9,Sebastian Rudy,Defensives Mittelfeld,TSG 1899 Hoffenheim,Lukas Kruse,0:0,5',TSG 1899 Hoffenheim,SC Paderborn 07,1:0 ,2014/2015,0
10,Franco Di Santo,Mittelstürmer,SV Werder Bremen,Loris Karius,1:0,44',1.FSV Mainz 05,SV Werder Bremen,1:2 ,2014/2015,0
15,Vladimir Darida,Zentrales Mittelfeld,SC Freiburg,Jaroslav Drobny,0:0,3',SC Freiburg,Hamburger SV,0:0 ,2014/2015,0
15,Ivan Perisic,Linksaußen,VfL Wolfsburg,Lukas Kruse,1:0,30',VfL Wolfsburg,SC Paderborn 07,1:1 ,2014/2015,0
1,Alexander Meier,Hängende Spitze,Eintracht Frankfurt,Ralf Fährmann,1:0,68',Eintracht Frankfurt,FC Schalke 04,1:0 ,2016/2017,0
19,Eric Maxim Choupo-Moting,Mittelstürmer,FC Schalke 04,Manuel Neuer,0:0,18',FC Bayern München,FC Schalke 04,1:1 ,2014/2015,0
20,Joselu,Mittelstürmer,Hannover 96,Jaroslav Drobny,0:0,23',Hamburger SV,Hannover 96,2:1 ,2014/2015,0
23,Alexander Meier,Hängende Spitze,Eintracht Frankfurt,Jaroslav Drobny,2:1,90',Eintracht Frankfurt,Hamburger SV,2:1 ,2014/2015,0
24,Tobias Werner,Linksaußen,FC Augsburg,Diego Benaglio,0:0,63',FC Augsburg,VfL Wolfsburg,1:0 ,2014/2015,0
3,Chicharito,Mittelstürmer,Bayer 04 Leverkusen,Lukas Hradecky,2:1,88',Eintracht Frankfurt,Bayer 04 Leverkusen,2:1 ,2016/2017,0
4,Charles Aránguiz,Zentrales Mittelfeld,Bayer 04 Leverkusen,Marwin Hitz,0:0,72',Bayer 04 Leverkusen,FC Augsburg,0:0 ,2016/2017,0
7,Emil Forsberg,Linksaußen,RasenBallsport Leipzig,Koen Casteels,0:0,18',VfL Wolfsburg,RasenBallsport Leipzig,0:1 ,2016/2017,0
7,André Hahn,Rechtsaußen,Borussia Mönchengladbach,René Adler,0:0,26',Borussia Mönchengladbach,Hamburger SV,0:0 ,2016/2017,0
7,Antonio Colak,Mittelstürmer,SV Darmstadt 98,Jonas Lössl,1:0,45',1.FSV Mainz 05,SV Darmstadt 98,2:1 ,2016/2017,0
1,Mevlüt Erdinc,Mittelstürmer,Hannover 96,Christian Mathenia,2:1,59',SV Darmstadt 98,Hannover 96,2:2 ,2015/2016,0
7,Wout Weghorst,Mittelstürmer,VfL Wolfsburg,Oliver Baumann,2:0,84',VfL Wolfsburg,TSG 1899 Hoffenheim,2:1 ,2020/2021,0
7,Lars Stindl,Hängende Spitze,Borussia Mönchengladbach,René Adler,0:0,61',Borussia Mönchengladbach,Hamburger SV,0:0 ,2016/2017,0
7,Pierre-Emerick Aubameyang,Mittelstürmer,Borussia Dortmund,Rune Jarstein,0:1,77',Borussia Dortmund,Hertha BSC,1:1 ,2016/2017,0
9,Anthony Modeste,Mittelstürmer,1.FC Köln,René Adler,0:0,41',1.FC Köln,Hamburger SV,3:0 ,2016/2017,0
11,Hakan Calhanoglu,Offensives Mittelfeld,Bayer 04 Leverkusen,Péter Gulácsi,2:1,54',Bayer 04 Leverkusen,RasenBallsport Leipzig,2:3 ,2016/2017,0
4,Davy Klaassen,Zentrales Mittelfeld,SV Werder Bremen,Rafal Gikiewicz,1:1,55',1.FC Union Berlin,SV Werder Bremen,1:2 ,2019/2020,0
2,Eugen Polanski,Defensives Mittelfeld,TSG 1899 Hoffenheim,Manuel Neuer,1:1,74',TSG 1899 Hoffenheim,FC Bayern München,1:2 ,2015/2016,0
3,Felix Kroos,Zentrales Mittelfeld,SV Werder Bremen,Yann Sommer,2:1,88',SV Werder Bremen,Borussia Mönchengladbach,2:1 ,2015/2016,0
4,Klaas-Jan Huntelaar,Mittelstürmer,FC Schalke 04,Loris Karius,0:0,4',FC Schalke 04,1.FSV Mainz 05,2:1 ,2015/2016,0
7,Thomas Müller,Hängende Spitze,FC Bayern München,Loris Karius,0:0,21',1.FSV Mainz 05,FC Bayern München,0:3 ,2015/2016,0
8,Hakan Calhanoglu,Offensives Mittelfeld,Bayer 04 Leverkusen,Marwin Hitz,1:1,71',Bayer 04 Leverkusen,FC Augsburg,1:1 ,2015/2016,0
1,Thorgan Hazard,Linksaußen,Borussia Mönchengladbach,Ramazan Özcan,0:0,38',Borussia Mönchengladbach,Bayer 04 Leverkusen,2:0 ,2018/2019,0
7,Munas Dabbur,Mittelstürmer,TSG 1899 Hoffenheim,Koen Casteels,2:1,90',VfL Wolfsburg,TSG 1899 Hoffenheim,2:1 ,2020/2021,0
8,Max Kruse,Hängende Spitze,1.FC Union Berlin,Timo Horn,1:2,72',1.FC Köln,1.FC Union Berlin,1:2 ,2020/2021,0
9,Alexander Sörloth,Mittelstürmer,RasenBallsport Leipzig,Stefan Ortega,2:0,73',RasenBallsport Leipzig,Arminia Bielefeld,2:1 ,2020/2021,0
10,Steven Skrzybski,Rechtsaußen,FC Schalke 04,Lukas Hradecky,0:2,72',FC Schalke 04,Bayer 04 Leverkusen,0:3 ,2020/2021,0
12,Marco Reus,Offensives Mittelfeld,Borussia Dortmund,Jiri Pavlenka,1:1,77',SV Werder Bremen,Borussia Dortmund,1:2 ,2020/2021,0
6,Lucas Höler,Mittelstürmer,SC Freiburg,Zack Steffen,1:1,64',Fortuna Düsseldorf,SC Freiburg,1:2 ,2019/2020,0
7,Jamilu Collins,Linker Verteidiger,SC Paderborn 07,Robin Zentner,1:2,79',SC Paderborn 07,1.FSV Mainz 05,1:2 ,2019/2020,0
9,Sebastian Andersson,Mittelstürmer,1.FC Union Berlin,Manuel Neuer,2:0,58',FC Bayern München,1.FC Union Berlin,2:1 ,2019/2020,0
11,Davy Klaassen,Zentrales Mittelfeld,SV Werder Bremen,Yann Sommer,2:0,53',Borussia Mönchengladbach,SV Werder Bremen,3:1 ,2019/2020,0
13,André Hahn,Rechtsaußen,FC Augsburg,Timo Horn,0:0,9',1.FC Köln,FC Augsburg,1:1 ,2019/2020,0
8,Sandro Wagner,Mittelstürmer,SV Darmstadt 98,Loris Karius,2:3,90',SV Darmstadt 98,1.FSV Mainz 05,2:3 ,2015/2016,0
9,Mathew Leckie,Rechtsaußen,FC Ingolstadt 04,Przemyslaw Tyton,0:0,5',VfB Stuttgart,FC Ingolstadt 04,1:0 ,2015/2016,0
9,Marco Reus,Offensives Mittelfeld,Borussia Dortmund,Loris Karius,0:1,47',1.FSV Mainz 05,Borussia Dortmund,0:2 ,2015/2016,0
10,Lars Stindl,Hängende Spitze,Borussia Mönchengladbach,Ralf Fährmann,0:0,31',Borussia Mönchengladbach,FC Schalke 04,3:1 ,2015/2016,0
1,Mikael Ishak,Mittelstürmer,1.FC Nürnberg,Rune Jarstein,1:0,85',Hertha BSC,1.FC Nürnberg,1:0 ,2018/2019,0
2,Daniel Caligiuri,Rechtsaußen,FC Schalke 04,Rune Jarstein,0:0,13',FC Schalke 04,Hertha BSC,0:2 ,2018/2019,0
4,Nils Petersen,Mittelstürmer,SC Freiburg,Koen Casteels,0:1,21',VfL Wolfsburg,SC Freiburg,1:3 ,2018/2019,0
7,Timo Werner,Mittelstürmer,RasenBallsport Leipzig,Fabian Bredlow,6:0,63',RasenBallsport Leipzig,1.FC Nürnberg,6:0 ,2018/2019,0
8,Wendell,Linker Verteidiger,Bayer 04 Leverkusen,Michael Esser,0:0,7',Bayer 04 Leverkusen,Hannover 96,2:2 ,2018/2019,0
14,Emil Forsberg,Linksaußen,RasenBallsport Leipzig,Gregor Kobel,0:0,22',VfB Stuttgart,RasenBallsport Leipzig,0:1 ,2020/2021,0
16,Marco Reus,Offensives Mittelfeld,Borussia Dortmund,Robin Zentner,1:1,76',Borussia Dortmund,1.FSV Mainz 05,1:1 ,2020/2021,0
17,Krzysztof Piatek,Mittelstürmer,Hertha BSC,Oliver Baumann,0:0,12',Hertha BSC,TSG 1899 Hoffenheim,0:3 ,2020/2021,0
17,Alfred Finnbogason,Mittelstürmer,FC Augsburg,Manuel Neuer,0:1,76',FC Augsburg,FC Bayern München,0:1 ,2020/2021,0
13,Breel Embolo,Mittelstürmer,Borussia Mönchengladbach,Mark Flekken,2:1,49',Borussia Mönchengladbach,SC Freiburg,4:2 ,2019/2020,0
23,Alassane Plea,Mittelstürmer,Borussia Mönchengladbach,Oliver Baumann,1:0,75',Borussia Mönchengladbach,TSG 1899 Hoffenheim,1:1 ,2019/2020,0
27,Mark Uth,Hängende Spitze,1.FC Köln,Florian Kastenmeier,0:1,59',1.FC Köln,Fortuna Düsseldorf,2:2 ,2019/2020,0
28,Mark Uth,Hängende Spitze,1.FC Köln,Oliver Baumann,3:1,77',TSG 1899 Hoffenheim,1.FC Köln,3:1 ,2019/2020,0
2,Simon Terodde,Mittelstürmer,VfB Stuttgart,René Adler,1:0,80',VfB Stuttgart,1.FSV Mainz 05,1:0 ,2017/2018,0
16,Thorgan Hazard,Linksaußen,Borussia Mönchengladbach,Fabian Bredlow,0:0,45',Borussia Mönchengladbach,1.FC Nürnberg,2:0 ,2018/2019,0
19,Jonas Hofmann,Rechtsaußen,Borussia Mönchengladbach,Gregor Kobel,0:0,44',Borussia Mönchengladbach,FC Augsburg,2:0 ,2018/2019,0
19,Robert Lewandowski,Mittelstürmer,FC Bayern München,Ron-Robert Zieler,2:1,65',FC Bayern München,VfB Stuttgart,4:1 ,2018/2019,0
24,Hanno Behrens,Zentrales Mittelfeld,1.FC Nürnberg,Péter Gulácsi,0:0,10',1.FC Nürnberg,RasenBallsport Leipzig,0:1 ,2018/2019,0
1,Jonathan Schmid,Rechter Verteidiger,SC Freiburg,Bernd Leno,3:1,67',Bayer 04 Leverkusen,SC Freiburg,3:1 ,2013/2014,0
5,Florian Niederlechner,Mittelstürmer,SC Freiburg,Philipp Tschauner,0:0,54',SC Freiburg,Hannover 96,1:1 ,2017/2018,0
7,Pierre-Emerick Aubameyang,Mittelstürmer,Borussia Dortmund,Marwin Hitz,1:2,79',FC Augsburg,Borussia Dortmund,1:2 ,2017/2018,0
9,Maximilian Arnold,Zentrales Mittelfeld,VfL Wolfsburg,Oliver Baumann,0:0,11',VfL Wolfsburg,TSG 1899 Hoffenheim,1:1 ,2017/2018,0
9,Salomon Kalou,Linksaußen,Hertha BSC,Alexander Schwolow,1:0,77',SC Freiburg,Hertha BSC,1:1 ,2017/2018,0
10,Mario Gómez,Mittelstürmer,VfL Wolfsburg,Ralf Fährmann,1:0,60',FC Schalke 04,VfL Wolfsburg,1:1 ,2017/2018,0
1,Thomas Müller,Hängende Spitze,FC Bayern München,Marc-André ter Stegen,2:1,68',FC Bayern München,Borussia Mönchengladbach,3:1 ,2013/2014,0
